notificationID,message,jobID
1,A Software Engineer Internship job at Cisco has just been released!,J101
2,A Marketing Coordinator Mid-level job at Datadog has just been released!,J102
3,A Frontend Developer Internship job at Microsoft has just been released!,J103
4,A Software Engineer Entry-level job at Microsoft has just been released!,J104
5,A Information Technology Internship job at BlueWave Communications has just been released!,J105
6,A Human Resources Senior-level job at Google has just been released!,J106
7,A Graphic Design Entry-level job at Google has just been released!,J107
8,A Product Manager Entry-level job at RedHat has just been released!,J108
9,A Marketing Analyst Internship job at Microsoft has just been released!,J109
10,A Data Analyst Internship at Datadog has just been released!,J110
11,A Public Relations Officer Senior-level job at Microsoft has just been released!,J111
12,A Backend Engineering Internship job at Cisco has just been released!,J112
